latitude,longitude,username,tweettext
34.0522,-118.243,Resident Magazine,The truth is, we all knew! Congrats to our #Oscar man & #MCM leonardodicaprio you definitely… https://t.co/qGc17uGn3z
34.0522,-118.243,Aldo Cisternino,#complimenti #maestro ????#enniomorricone #oscar #oscar2016 #bestsoundtrack #madeinitaly… https://t.co/XjFpyCBrf4
34.1026192,-118.3395081,Olga Balaban,#Oscars #afterparty omg can't believe I'm here after#Leo winning the #Oscar ???????????????? @… https://t.co/7GUtspLMjd
34.1,-118.33333333,The Beauty Broker,We tune into my sweetheart and most favorite #MUA @makeupvincent for #Oscar party #beauty ....… https://t.co/BDC3VfKKv3
34.1011581,-118.3398132,David Royer,Ahhhhhh!!! I'm dying! @dnce making serious magic on #gma post #oscar show! #cakebytheocean… https://t.co/sYyCXdmMUV
-8.0174271,-34.848215,Hello,"Em cada poça dessa rua você vai me ver..." #oscar pra essa banda ?
@lucasfresno @vavofresno… https://t.co/PNquaShQKG
-21.76339557,-43.34741532,Loja Hero Comics,Até que enfim... Parabéns DiCaprio!!!?????????
#oscar #dicaprio #leonardodicaprio #oscar2016… https://t.co/QHvtKbEHmX
-15.79055752,-47.8856587,Tio Jao,Tem os melhores momentos da Glória Pires ontem? #google #oscar #gloriapires #naoseiopinar
34.10246896,-118.34130386,Mos Creaciones,POR FIN.
#leonardodicaprio #Oscars #Oscar #oscars2016 #therevenant #elrenacido #winner #ganador… https://t.co/MksGaGczO1
34.12798513,-118.41979693,Carla L. Sims,I had the pleasure of "watching" #TomMcCarthys #Oscar, won for #bestdirector of #Spotlight… https://t.co/GH73ksUlvk
34.1132647,-118.31459212,Jennifer Fisher,?? @selenagomez wearing the JF Silver Double Band Ring to last nights #Oscar @vanityfair party… https://t.co/gPhuYmppwO
34.0522,-118.243,Roman Bilik,Yees ?  @samsmithworld // #SamSmith #Oscar @ Los Angeles, California https://t.co/F31djMkPeR
34.07222533,-118.40171523,Brendan Ordonez,#AboutLastNight #TaylorSwift #AlexandreVauthier #VanityFair #Oscar party #2016 #BPCM @ Wallis… https://t.co/WZAprlFDff
-4.26667,-41.7833,#Babadhocs,Com certeza ela merece o #oscar. Kkkkkk

Não sou capaz de opinar! 

#oscar
